role,player_id,player,n_obs,arima_order,arima_next_forecast,hybrid_next_forecast
Forward,48318,Jonathan Cafu,19,"(1, 1, 0)",15.50523401622409,15.50523401622409
Forward,49907,R. Bobadilla,29,"(0, 1, 1)",13.537170677004136,13.532480089483537
Forward,50023,J. Drmic,32,"(1, 1, 0)",14.934352900792843,14.940486650873906
Forward,55968,M. Braithwaite,21,"(1, 0, 0)",21.59497678627053,21.59497678627053
Forward,56274,Y. Poulsen,44,"(1, 1, 0)",20.34501245672105,20.37010224962829
Forward,64995,G. Burgstaller,36,"(1, 0, 0)",22.812844893371334,22.886388278042546
Forward,65180,M. Gregoritsch,37,"(0, 1, 1)",29.1679072122949,28.888997350253426
Forward,69411,A. Kramari\u0107,109,"(0, 1, 1)",1.0624396637267073,1.062544806320091
Forward,69513,A. Budimir,26,"(0, 1, 1)",24.048622924738776,24.033218923860442
Forward,69616,A. Rebi\u0107,44,"(1, 1, 0)",28.27169203747073,28.34532739955941
Forward,70129,Rodrigo,45,"(0, 1, 1)",29.1116778478163,29.116455994560074
Forward,70975,Bruma,37,"(1, 1, 0)",22.67790403328232,22.696391516545336
Forward,72397,Simy,42,"(0, 1, 1)",12.207765878900874,12.208789722785342
Forward,82266,L. Krej\u010d\u00ed,97,"(0, 1, 1)",7.017447507364114,7.0175543933933575
Forward,85438,R. Beri\u010d,16,"(0, 1, 1)",15.162378247698308,15.162378247698308
Forward,86239,G. Carrillo,32,"(1, 1, 0)",5.856116587914744,5.729400644697466
Forward,86243,D. Zapata,32,"(1, 1, 0)",23.291855799048943,23.238902987927002
Forward,86338,L. Ocampos,39,"(1, 1, 0)",35.39608355091384,35.40024384429178
Forward,86517,P. De Blasis,38,"(0, 1, 1)",20.32876292075073,20.902064593686216
Forward,89186,P. Dybala,39,"(1, 1, 0)",30.502947196070405,30.486642218832227
Forward,91381,J. Izquierdo,37,"(1, 0, 0)",21.028304219785806,21.12714067900526
Forward,91519,J. C\u00f3rdoba,36,"(1, 1, 0)",19.313040607467222,19.358683221831846
Forward,93331,K. Mitroglou,28,"(1, 1, 0)",16.264566771926184,16.461750768365164
Forward,94764,Y. Muto,39,"(1, 1, 0)",24.28978283785129,24.944531873686557
Forward,94831,Y. \u014csako,44,"(1, 1, 0)",24.122482435597195,24.109589891327634
Forward,97582,M. Konat\u00e9,44,"(1, 1, 0)",25.40809399477806,25.711933052462005
Forward,99452,A. Milik,102,"(0, 1, 1)",19.25388072954752,19.185812351873896
Forward,99453,P. Nakoulma,38,"(1, 1, 0)",22.923016490253275,22.915906663822597
Forward,99511,M. St\u0119pi\u0144ski,39,"(0, 1, 1)",0.813020997082813,0.8125827092286183
Forward,101635,F. Caicedo,36,"(1, 1, 0)",16.771745482994582,16.881418990506198
Forward,101795,L. Traor\u00e9,31,"(1, 1, 0)",8.009958391051967,7.605576072793681
Forward,105376,N. Kalini\u0107,99,"(0, 1, 1)",7.9164973954504125,7.916534044856369
Forward,105541,Lucas P\u00e9rez,35,"(1, 1, 0)",17.83827149932463,17.836696111310314
Forward,105616,B. Ideye,13,"(0, 1, 1)",10.433904103238056,10.433904103238056
Forward,105619,A. Mehmedi,91,"(1, 1, 0)",10.830784414084969,10.830834303172646
Forward,105622,A. Yarmolenko,98,"(0, 1, 1)",9.044221558347385,9.044159189537208
Forward,115933,G. Lapadula,38,"(1, 1, 0)",22.024660930751896,22.01984781470809
Forward,116283,D. Rol\u00e1n,35,"(1, 1, 0)",22.007969383160734,22.01044419781413
Forward,119630,I. Slimani,36,"(1, 1, 0)",8.214627851699532,8.164773517255725
Forward,120353,Mohamed Salah,45,"(1, 0, 0)",32.66283451315774,33.68886922594918
Forward,131321,C. Kouakou,39,"(1, 0, 0)",13.42029280970685,13.48033991466157
Forward,134249,Rub\u00e9n Sobrino,39,"(0, 1, 1)",24.787227865518982,24.791000258387978
Forward,134351,B. Afobe,21,"(1, 1, 0)",10.096252117263576,10.096252117263576
Forward,134399,D. Selke,30,"(0, 1, 1)",24.948271201851295,24.935285167696403
Forward,134494,V. Germain,40,"(0, 1, 1)",21.46981988036028,21.751214511030827
Forward,134512,C. Jean,40,"(1, 1, 0)",19.662119373713384,19.649140868370186
Forward,134513,A. Martial,99,"(0, 1, 1)",4.326914621392155,4.326908556619549
Forward,134769,Y. Carrasco,107,"(0, 1, 1)",5.926082509234073,5.926120984032275
Forward,135150,A. Cornelius,44,"(0, 1, 1)",11.227092642822068,11.228349540867608
Forward,135810,M. Pjaca,107,"(0, 1, 1)",2.850824772101922,2.8508048827770187
Forward,135927,Andr\u00e9 Silva,45,"(1, 1, 0)",12.882995883923014,12.88507951329275
Forward,142755,B. Traor\u00e9,41,"(1, 1, 0)",23.898111389426163,23.885042817739418
Forward,143189,C. Ninga,41,"(1, 1, 0)",19.009050786111203,19.0356493290399
Forward,145692,O. Niasse,33,"(1, 1, 0)",13.47565482865937,13.469910192600562
Forward,165431,K. Karaman,36,"(1, 1, 0)",10.643971497783529,10.566933984527456
Forward,173214,T. Werner,45,"(1, 1, 0)",24.65693793911008,24.645326999011317
Forward,206314,M. Icardi,38,"(1, 1, 0)",32.76485977395735,32.7660154279258
Forward,208696,M. Politano,38,"(1, 1, 0)",35.3368663028153,35.33754217478357
Forward,209400,D. Berardi,38,"(1, 1, 0)",15.670568972574696,15.676207067193612
Forward,214654,S. Mouni\u00e9,39,"(1, 0, 0)",17.698350652010376,17.574461041839058
Forward,215130,Nuno Da Costa,29,"(1, 1, 0)",23.522846476138152,23.472393632829704
Forward,217878,L. Diony,19,"(1, 1, 0)",16.35635424896397,16.35635424896397
Forward,219350,A. Niane,41,"(1, 0, 0)",21.329203573531213,21.776317981547418
Forward,224801,I. Bebou,35,"(1, 0, 0)",23.97394372487653,23.950773045068868
Forward,225946,A. Sanabria,37,"(1, 1, 0)",17.90714880776559,17.892350855739462
Forward,228765,T. Kleindienst,37,"(1, 1, 0)",14.006765606472314,13.998071799645246
Forward,228902,J. Calleri,39,"(0, 1, 1)",18.16101238431137,18.159605155901126
Forward,229697,Y. Bammou,38,"(1, 0, 0)",13.358090440173665,13.211942458887616
Forward,230687,E. Berggreen,19,"(1, 1, 0)",17.5505032227173,17.5505032227173
Forward,230883,Ayoze P\u00e9rez,39,"(1, 1, 0)",34.883860153256705,34.96088050037508
Forward,233910,A. Donis,38,"(1, 0, 0)",15.872049146804255,16.427164488944452
Forward,234533,S. Perica,38,"(0, 1, 1)",10.558862941268728,10.565251024369047
Forward,237034,Gon\u00e7alo Guedes,47,"(1, 1, 0)",33.566118865375955,33.34291708386465
Forward,239295,V. Parigini,34,"(1, 1, 0)",11.576942205188669,11.755245417116083
Forward,240042,D. Kownacki,38,"(1, 1, 0)",20.15050992932281,20.147392591499894
Forward,244335,K. Dolly,39,"(0, 1, 1)",10.580195625575184,10.575400081725716
Forward,245813,L. Mousset,38,"(1, 1, 0)",14.023732194240086,14.08285609775304
Forward,246175,A. Petagna,32,"(1, 1, 0)",13.663578641903976,13.69127454359589
Forward,247141,I\u00f1aki Williams,38,"(0, 1, 1)",21.551722617439587,21.553774537138302
Forward,250134,Luiz Ara\u00fajo,40,"(0, 1, 1)",19.500587467362926,19.498446487149046
Forward,250885,Santi Mina,38,"(0, 1, 1)",23.982013991225067,23.982100205618444
Forward,252589,B. Petkovi\u0107,34,"(0, 1, 1)",12.470920797446674,12.466142814615672
Forward,253784,B. Guillaume,32,"(1, 1, 0)",7.19779082914722,7.180644301380038
Forward,254189,Ivi,34,"(0, 1, 1)",24.28385862224223,24.284468657155056
Forward,254408,\u00c1. Correa,38,"(0, 1, 1)",28.41319225574066,28.403949318771858
Forward,254649,T. Asano,17,"(1, 1, 0)",19.359341959918403,19.359341959918403
Forward,255670,C. Lombardi,28,"(1, 1, 0)",16.422904711225474,16.4172950349836
Forward,256480,B. Keita,30,"(1, 1, 0)",16.02298369004285,15.945472148497458
Forward,258254,L. Waldschmidt,38,"(1, 0, 0)",17.413601170627658,17.393019150344912
Forward,258264,L. Jovi\u0107,35,"(1, 1, 0)",14.469704721179783,14.524815175739109
Forward,259292,F. Di Francesco,35,"(1, 1, 0)",23.522980041126274,23.518589615146183
Forward,259946,A. Pe\u00f1aranda,15,"(0, 1, 1)",11.366294802434076,11.366294802434076
Forward,263490,S. Guirassy,23,"(0, 1, 1)",9.677174446064452,9.677174446064452
Forward,264989,F. Mubele,39,"(1, 1, 0)",23.005007264959502,23.068930482315707
Forward,269152,G. Simeone,38,"(1, 1, 0)",16.282512332287254,16.27280056008381
Forward,271990,L. H\u00f6ler,15,"(1, 1, 0)",9.790709456700764,9.790709456700764
Forward,272878,A. Nalini,38,"(0, 1, 1)",12.443966224512886,12.441337004027199
Forward,274435,E. \u00dcnal,38,"(0, 1, 1)",15.529243583971184,15.527463141077678
Forward,275032,E. Crivelli,39,"(1, 1, 0)",12.185530896431684,12.12763692731309
Forward,276211,A. Saint-Maximin,41,"(1, 1, 0)",29.88681462140993,29.89736345889286
Forward,276944,J. Bamba,41,"(1, 0, 0)",25.53854859751704,24.472965726079966
Forward,276983,I. Mbenza,41,"(1, 1, 0)",20.593385552654485,20.57202566940568
Forward,277002,F. Diabat\u00e9,14,"(0, 1, 1)",9.332842266778863,9.332842266778863
Forward,278278,Munir,35,"(1, 1, 0)",35.54961728950923,35.548044265191606
Forward,279780,J. Augustin,37,"(1, 1, 0)",18.375973304249467,18.37940592084092
Forward,282772,B. Embolo,107,"(0, 1, 1)",5.2787129716849766,5.278671714094921
Forward,284322,E. Ponce,36,"(0, 1, 1)",15.068265005304015,15.068980316920674
Forward,285508,K. Iheanacho,45,"(0, 1, 1)",10.227577425990589,10.224967591915615
Forward,285727,L. Dimata,35,"(1, 1, 0)",10.603424792549458,10.61385422702774
Forward,286390,O. Demb\u00e9l\u00e9,42,"(1, 1, 0)",14.53078433970384,14.46213738719396
Forward,286553,A. El Ghazi,40,"(0, 1, 1)",22.032159392960185,22.027712022192592
Forward,286831,D. Solanke,38,"(1, 1, 0)",13.904614361929548,13.914431213396442
Forward,293687,D. Calvert-Lewin,34,"(1, 0, 0)",26.626643342083447,26.765399825876706
Forward,295761,S. Grandsir,41,"(1, 1, 0)",19.71373873900009,19.43645665000511
Forward,301017,M. Thuram,40,"(1, 1, 0)",35.89952132288947,36.115066589756154
Forward,328131,C. Akolo,33,"(1, 1, 0)",22.401703077382713,22.468290994889408
Forward,328336,M. Fares,39,"(0, 1, 1)",17.64447892390958,17.644811972312844
Forward,333913,K. Lasagna,38,"(0, 1, 1)",27.06772410970118,27.069691003374125
Forward,334817,L. Boy\u00e9,34,"(1, 1, 0)",6.493421198222484,6.495320172402706
Forward,338201,E. Boateng,38,"(0, 1, 1)",14.492920554651338,14.486755974067766
Forward,339791,\u00c1lex Berenguer,38,"(0, 1, 1)",14.261869621236611,14.25609647180586
Forward,340386,Gabriel Jesus,47,"(1, 1, 0)",23.924407963846924,23.902740386520627
Forward,343925,D. Verde,36,"(1, 1, 0)",23.146930004093328,23.153164947960057
Forward,343951,T. Abraham,39,"(1, 0, 0)",20.66063930165257,21.46692372929539
Forward,344140,A. Ndiaye,38,"(0, 1, 1)",14.829098996948323,14.82477666648092
Forward,344744,J. Ikon\u00e9,37,"(1, 1, 0)",21.212958028324568,21.21487896681639
Forward,350032,C. \u00dcnder,37,"(1, 1, 0)",18.801648522770154,18.826061095154035
Forward,351010,P. Cutrone,37,"(1, 1, 0)",16.009090245434006,16.040149542235692
Forward,352993,Y. Karamoh,33,"(1, 1, 0)",12.703464333121218,12.699281204645075
Forward,353833,K. Mbapp\u00e9,49,"(1, 1, 0)",28.26451261966928,28.268880924875578
Forward,354997,S. C\u00f3rdova,38,"(1, 1, 0)",14.304142978892488,14.594791826710862
Forward,364820,Loren Mor\u00f3n,15,"(0, 1, 1)",23.453402206070358,23.453402206070358
Forward,366546,L. Mothiba,13,"(0, 1, 1)",12.654877940383187,12.654877940383187
Forward,377071,Richarlison,39,"(1, 1, 0)",34.67823852969349,34.64049575103462
Forward,385273,Charles,38,"(1, 1, 0)",22.661938146445863,22.612484977338426
Forward,388267,L. Bailey,38,"(1, 1, 0)",33.882055035128815,33.80559242357276
Forward,394006,M. Terrier,32,"(1, 1, 0)",27.762771486997224,27.742495313047982
Forward,397178,M. Rashford,108,"(0, 1, 1)",2.340359630554311,2.340271838500492
Forward,403546,Lee Seung-Woo,39,"(1, 0, 0)",11.987390837371919,11.506361326873872
Forward,410031,M. Kean,24,"(0, 1, 1)",29.027149894873407,29.027149894873407
Forward,412701,I. Sacko,33,"(1, 1, 0)",10.468526604427296,10.480196642531354
Forward,424624,O. Etebo,20,"(1, 1, 0)",13.310881062102128,13.310881062102128
Forward,447821,Y. En-Nesyri,39,"(1, 1, 0)",26.7541999781586,26.869031507716304
Forward,454457,E. Brignola,23,"(1, 1, 0)",18.50793991152963,18.50793991152963
Forward,491365,J. Arp,28,"(1, 1, 0)",9.162454119168672,9.151654904924783
Forward,498357,I. Niane,41,"(1, 0, 0)",11.851306901893363,12.154707954845176
Midfielder,54,C. Eriksen,46,"(0, 1, 1)",30.33396328075345,30.33330125941451
Midfielder,93,J. Gu\u00f0munds\u00adson,105,"(0, 1, 1)",10.272779044994484,10.272811887153756
Midfielder,114,K. Strootman,38,"(1, 1, 0)",18.543025871766037,18.602493179989285
Midfielder,116,G. Wijnaldum,39,"(1, 0, 0)",22.741183506542765,21.82775865703257
Midfielder,173,R. van La Parra,39,"(1, 1, 0)",29.18584243369734,29.246574738747235
Midfielder,179,L. Narsingh,38,"(0, 1, 1)",10.091720191361269,10.083342117788156
Midfielder,262,L. Fer,25,"(1, 1, 0)",16.86941418281552,16.085504385147065
Midfielder,383,D. Tadi\u0107,45,"(1, 1, 0)",27.72773876899521,28.73674538844864
Midfielder,466,D. Pr\u00f6pper,39,"(0, 1, 1)",23.62026063153637,23.62044182965649
Midfielder,625,M. de Roon,37,"(0, 1, 1)",12.055351284214472,12.048560899564242
Midfielder,1729,R. Bazoer,35,"(1, 1, 0)",6.291381800840506,6.342774132559905
Midfielder,3280,\u00c9. Banega,45,"(0, 1, 1)",13.646792550439734,13.649910230989356
Midfielder,3282,Canales,38,"(0, 1, 1)",23.06828763579928,23.06952718889319
Midfielder,3286,Dani Parejo,38,"(0, 1, 1)",18.63373616140714,18.618973715122845
Midfielder,3287,Portu,37,"(0, 1, 1)",22.030379842788992,22.03389722975817
Midfielder,3317,Granero,36,"(0, 1, 1)",13.26494643286376,13.269773887549924
Midfielder,3318,S. Khedira,105,"(0, 1, 1)",11.05674162558115,11.056753263388043
Midfielder,3344,Rafinha,15,"(1, 1, 0)",20.69037168801313,20.69037168801313
Midfielder,3345,Thiago Alc\u00e2ntara,105,"(0, 1, 1)",2.5423837666512736,2.5424356152416476
Midfielder,3346,Sergio Busquets,107,"(0, 1, 1)",9.996443255082196,9.996474428311414
Midfielder,3350,F\u00e0bregas,99,"(0, 1, 1)",6.547537598742527,6.547520115955156
Midfielder,3353,Iniesta,107,"(0, 1, 1)",10.486406797434997,10.486414285268497
Midfielder,3384,A. Guardado,45,"(0, 1, 1)",20.9381143300569,20.931691586855646
Midfielder,3409,San Jos\u00e9,36,"(0, 1, 1)",21.04390843248836,21.042190850143353
Midfielder,3413,Ander Herrera,38,"(1, 1, 0)",21.35030778773112,21.384515351578422
Midfielder,3414,Iturraspe,34,"(0, 1, 1)",17.140002586652873,17.146670319845317
Midfielder,3416,Javi Mart\u00ednez,34,"(1, 1, 0)",14.556000440629411,14.470545514734674
Midfielder,3420,Susaeta,36,"(0, 1, 1)",16.451564924987068,16.447281118677964
Midfielder,3423,Ibai G\u00f3mez,39,"(0, 1, 1)",17.767783238489397,17.77146888750813
Midfielder,3441,Gabi,38,"(0, 1, 1)",15.088528194516297,15.097401120751496
Midfielder,3443,Koke,105,"(0, 1, 1)",1.5283591176360518,1.5283618971682758
Midfielder,3470,Campa\u00f1a,38,"(0, 1, 1)",21.87168770477669,21.875350141977236
Midfielder,3476,I. Rakiti\u0107,109,"(0, 1, 1)",11.741797372061296,11.741795479613824
Midfielder,3484,Luis Alberto,36,"(1, 0, 0)",28.186197919445682,27.82460938175266
Midfielder,3503,Ra\u00fal Garc\u00eda,36,"(0, 1, 1)",18.83288515979767,18.83297427619219
Midfielder,3535,J. de Guzm\u00e1n,35,"(1, 1, 0)",13.8274838428955,13.821113521979324
Midfielder,3538,M. Wakaso,39,"(0, 1, 1)",17.857143059293815,17.860536821107456
Midfielder,3539,H. P\u00e9rez,30,"(0, 1, 1)",8.162810614938554,8.166148996586617
Midfielder,3542,Trigueros,38,"(0, 1, 1)",18.70288259470024,18.707775897617722
Midfielder,3543,Borja Valero,37,"(1, 1, 0)",21.075014060742404,21.074202740944173
Midfielder,3563,Isco,45,"(0, 1, 1)",20.25213398861873,20.251598805963873
Midfielder,3568,Recio,26,"(1, 0, 0)",19.826657555226255,19.617146558288503
Midfielder,3571,Joaqu\u00edn,38,"(0, 1, 1)",21.23726073460941,21.231595879367635
Midfielder,3572,Portillo,37,"(0, 1, 1)",18.543197102948785,18.54600084117776
Midfielder,3573,J. Toulalan,23,"(0, 1, 1)",15.174153468050248,15.174153468050248
Midfielder,3595,Be\u00f1at,38,"(0, 1, 1)",17.721894988680297,17.709028521442825
Midfielder,3645,Chory Castro,31,"(1, 1, 0)",25.14705121572685,25.134578124243735
Midfielder,3676,Illarramendi,38,"(0, 1, 1)",25.61243781255388,25.608783869015213
Midfielder,3680,Zurutuza,38,"(0, 1, 1)",16.636575271598556,16.643392195216872
Midfielder,3705,Adri\u00e1n,38,"(1, 1, 0)",28.02437920331092,28.064720371952966
Midfielder,3797,V\u00edctor S\u00e1nchez,35,"(0, 1, 1)",15.984156751163994,15.986666155137812
Midfielder,3843,F. Orellana,18,"(1, 1, 0)",21.23960520926171,21.23960520926171
Midfielder,3866,M. Iturra,18,"(1, 1, 0)",18.24195464168195,18.24195464168195
Midfielder,3928,Vicente Iborra,32,"(1, 0, 0)",16.568419082953632,16.803369297578037
Midfielder,3934,N. El Zhar,38,"(0, 1, 1)",20.262286601138133,20.26108509070875
Midfielder,4009,M. Lacen,30,"(0, 1, 1)",13.276493308462069,13.277745169915125
Midfielder,4013,Rub\u00e9n P\u00e9rez,39,"(0, 1, 1)",23.183458354888774,23.183929801551916
Midfielder,4015,Pablo Sarabia,38,"(0, 1, 1)",24.745214692188316,24.749254769516998
Midfielder,4278,Borja Garc\u00eda,38,"(0, 1, 1)",31.86200993705811,31.86439576197686
Midfielder,4332,Javi Fuego,38,"(0, 1, 1)",15.10197878944646,15.099528755424128
Midfielder,4361,Javi Castellano,38,"(0, 1, 1)",22.80173135820209,22.800368669362655
Midfielder,4362,Momo,37,"(0, 1, 1)",11.987385664313331,11.990298701628342
Midfielder,4363,Vicente G\u00f3mez,35,"(0, 1, 1)",12.188800516473044,12.178360166894187
Midfielder,4365,Roque Mesa,39,"(0, 1, 1)",13.35303668032752,13.351407864199743
Midfielder,4375,Vitolo,38,"(0, 1, 1)",18.45851583721687,18.462509132349982
Midfielder,4379,Jonathan Viera,25,"(0, 1, 1)",28.42440506983963,28.414272768240842
Midfielder,4488,Sa\u00fal,38,"(0, 1, 1)",18.825124015634884,18.82188474160992
Midfielder,4511,Pedro Mosquera,38,"(0, 1, 1)",22.08849690113828,22.09808153663442
Midfielder,4513,D. Cheryshev,42,"(1, 1, 0)",24.653150531090176,24.647857713139928
Midfielder,4593,Sergio Mora,38,"(0, 1, 1)",15.137396899943658,15.143839394634076
Midfielder,4911,Jozabed,39,"(0, 1, 1)",22.00973768270954,22.007300603384223
Midfielder,5195,Omar Ramos,39,"(0, 1, 1)",18.19711845592096,18.194564776871946
Midfielder,5542,Dani Garc\u00eda,38,"(1, 1, 0)",24.893005848709556,24.90837001878402
Midfielder,5791,Juanpi,25,"(1, 1, 0)",4.839208896224253,4.863593990866892
Midfielder,6370,Eraso,38,"(0, 1, 1)",15.238036730470776,15.231880872654438
Midfielder,7585,Manu Garc\u00eda,38,"(0, 1, 1)",12.363877392653908,12.36029594326445
Midfielder,7868,A. Oxlade-Chamberlain,36,"(0, 1, 1)",26.67388195527821,26.68454602344065
Midfielder,7870,A. Ramsey,100,"(0, 1, 1)",12.22781768676168,12.22781443830854
